Estrategia,Metrica,Antes(mista),Depois(BRL),Diferenca
Equal Weight,annual_return,0.0686,0.1037,0.0351
Equal Weight,annual_vol,0.2144,0.1911,-0.0233
Equal Weight,sharpe,-0.1863,-0.0252,0.1611
Equal Weight,sortino,-0.2525,-0.0347,0.2178
Equal Weight,omega,0.9838,1.0081,0.0243
Equal Weight,calmar,0.1224,0.221,0.0986
Equal Weight,max_drawdown,-0.5604,-0.4693,0.0911
Equal Weight,hist_var_99,0.0357,0.0292,-0.0065
Equal Weight,hist_es_99,0.056,0.0481,-0.0079
Equal Weight,avg_turnover,0.0,0.0,0.0
Minimum Variance,annual_return,0.0949,0.136,0.0411
Minimum Variance,annual_vol,0.1351,0.1469,0.0118
Minimum Variance,sharpe,-0.1007,0.1868,0.2875
Minimum Variance,sortino,-0.1358,0.2614,0.3972
Minimum Variance,omega,0.9882,1.0371,0.0489
Minimum Variance,calmar,0.2734,0.5244,0.251
Minimum Variance,max_drawdown,-0.3472,-0.2593,0.0879
Minimum Variance,hist_var_99,0.0251,0.0234,-0.0017
Minimum Variance,hist_es_99,0.0358,0.0358,0.0
Minimum Variance,avg_turnover,0.0018,0.0025,0.0007
Risk Parity,annual_return,0.0811,0.1197,0.0386
Risk Parity,annual_vol,0.1683,0.1614,-0.0069
Risk Parity,sharpe,-0.1627,0.0694,0.2321
Risk Parity,sortino,-0.2199,0.0962,0.3161
Risk Parity,omega,0.9825,1.0197,0.0372
Risk Parity,calmar,0.1727,0.3443,0.1716
Risk Parity,max_drawdown,-0.47,-0.3477,0.1223
Risk Parity,hist_var_99,0.0294,0.0263,-0.0031
Risk Parity,hist_es_99,0.0443,0.0394,-0.0049
Risk Parity,avg_turnover,0.0007,0.0006,-0.0001
Maximum Diversification,annual_return,0.0947,0.1318,0.0371
Maximum Diversification,annual_vol,0.1397,0.1467,0.007
Maximum Diversification,sharpe,-0.099,0.1589,0.2579
Maximum Diversification,sortino,-0.1335,0.2211,0.3546
Maximum Diversification,omega,0.9893,1.0322,0.0429
Maximum Diversification,calmar,0.269,0.5187,0.2497
Maximum Diversification,max_drawdown,-0.3519,-0.2542,0.0977
Maximum Diversification,hist_var_99,0.0249,0.0235,-0.0014
Maximum Diversification,hist_es_99,0.0368,0.0356,-0.0012
Maximum Diversification,avg_turnover,0.0014,0.0015,0.0001
Maximum Decorrelation,annual_return,0.0964,0.1302,0.0338
Maximum Decorrelation,annual_vol,0.1461,0.1493,0.0032
Maximum Decorrelation,sharpe,-0.0828,0.1449,0.2277
Maximum Decorrelation,sortino,-0.1119,0.2015,0.3134
Maximum Decorrelation,omega,0.9929,1.0301,0.0372
Maximum Decorrelation,calmar,0.2735,0.4567,0.1832
Maximum Decorrelation,max_drawdown,-0.3525,-0.285,0.0675
Maximum Decorrelation,hist_var_99,0.0258,0.0243,-0.0015
Maximum Decorrelation,hist_es_99,0.0378,0.036,-0.0018
Maximum Decorrelation,avg_turnover,0.0014,0.0014,0.0
