,mean,std,skewness,kurtosis,min,q01,q05,median,q95,q99,max,annual_return,annual_volatility,risk_free_rate,sharpe_ratio,jb_statistic,jb_pvalue,is_normal
BRL=X,3.2359066747642264e-05,0.005095668647366831,0.13566261478887268,18.673112260720554,-0.06223972554197615,-0.017104488481491188,-0.007257223718351547,0.0,0.007306692185284831,0.018462146406071085,0.06024431505131415,0.008154484820405851,0.08089123202712914,0.10033284241531665,-1.1395345983109295,93196.55500743154,0.0,False
TLT,-4.338339859691835e-05,0.0052644898238434325,0.0976992182880716,26.924355946938643,-0.06901012180498142,-0.017632237159929825,-0.007863188588795696,0.0,0.007483816395490146,0.016886638826707937,0.07250311369154232,-0.010932616446423425,0.08357118512111975,0.10033284241531665,-1.331385437462482,193732.07088741162,0.0,False
UUP,3.056232063439371e-05,0.0023342840389855325,0.013099574508821016,29.600118293594228,-0.03259552463505188,-0.008113742793901544,-0.0032895031543192033,0.0,0.003495564675308318,0.007753210610412269,0.03712377616417781,0.007701704799867216,0.03705561033925873,0.10033284241531665,-2.4997871244698127,234141.25074496437,0.0,False
^VIX,4.9969188878742496e-05,0.03956573548238946,2.2572565160044893,35.28341620712675,-0.4424487591644147,-0.1152808182263474,-0.051883544584605173,0.0,0.04770113555899766,0.14433895679818115,0.554109651038965,0.012592235597443109,0.6280865791546002,0.10033284241531665,-0.1396950830186051,338140.1360927253,0.0,False
ABEV3.SA,1.9587022990625172e-05,0.009074679321226955,-0.36842740939683305,55.321128100550474,-0.17175937626119805,-0.02769193975411885,-0.011825853329601115,0.0,0.011274761586311969,0.030586578813327502,0.14240808911000638,0.004935929793637543,0.1440560682697617,0.10033284241531665,-0.6622207156385618,818017.5755288381,0.0,False
B3SA3.SA,6.513130115141758e-05,0.012539185106381606,-0.10281749763602539,30.670893913316185,-0.17578715541426124,-0.039727599137351355,-0.01644577936329702,0.0,0.017691840749205982,0.04457305379432755,0.17600735347608656,0.01641308789015723,0.19905339260934435,0.10033284241531665,-0.4215941935230291,251399.30295015132,0.0,False
BBAS3.SA,3.746993252779835e-05,0.011099081424209538,-1.5263125049511321,65.21939029252117,-0.18259548420296232,-0.03372619784169771,-0.012111767379276031,0.0,0.013142387164200305,0.03316418941190821,0.15808069904545402,0.009442422997005184,0.17619245537829017,0.10033284241531665,-0.5158587478854709,1139227.8694417288,0.0,False
BBDC4.SA,-2.9404636269343777e-06,0.011183442784476964,-1.2218948972182002,59.176534467297955,-0.19096957984236662,-0.03387121999758847,-0.01304914722912601,0.0,0.01373562706142361,0.03534080351286481,0.15586572086747386,-0.0007409968339874632,0.1775316504554746,0.10033284241531665,-0.5693285619211528,937441.7944327786,0.0,False
CMIG4.SA,0.00019410171795802145,0.010588003225521279,-1.4798970397077251,52.745080424055395,-0.21461986885001236,-0.032289310032667766,-0.012481926477878661,0.0,0.014730961576000075,0.033416025067632776,0.13325941792282822,0.048913632925421405,0.16807934049287424,0.10033284241531665,-0.30592224683363256,745819.250583786,0.0,False
CPFE3.SA,0.00012073038885018034,0.008849367079589833,-1.2786064154902654,39.194157715029434,-0.14698218013867048,-0.02816417817486998,-0.011358939973406066,0.0,0.012776907132668217,0.029120534278764567,0.08425691195463701,0.030424057990245446,0.14047934731749978,0.10033284241531665,-0.49764457025180475,412274.9944333548,0.0,False
EGIE3.SA,4.1828371862611504e-05,0.0072599022628289074,-0.09211474129984609,29.524288580270458,-0.1012417857924351,-0.023371346298539725,-0.009336712459205273,0.0,0.009868387948863156,0.023438595488772813,0.09460470364781559,0.010540749709378098,0.11524737558048223,0.10033284241531665,-0.7791248369316041,232951.99922143228,0.0,False
GGBR4.SA,0.0001212344645144799,0.012417982649656462,-0.9859274240193255,39.97380354395972,-0.19792218417734767,-0.04081088903665069,-0.014574672709539153,0.0,0.015988043895664234,0.043305260316948965,0.16086660505418768,0.030551085057648933,0.19712936325663555,0.10033284241531665,-0.35398966549098715,428060.79785911087,0.0,False
ITUB4.SA,8.966263383473343e-05,0.009513330702461664,-1.2946436018694567,49.81082202470907,-0.1980150748170828,-0.031065989269848868,-0.011924238603552802,0.0,0.01273424667994505,0.032659979201744065,0.10489496398897959,0.022594983726352824,0.1510194430717738,0.10033284241531665,-0.5147539754336001,664848.2371224209,0.0,False
LREN3.SA,-0.00015284270640540047,0.014609031860371602,-0.8722423765076548,29.887153147770256,-0.23724421133691764,-0.04990245621756727,-0.020974874627636073,0.0,0.020459752083575092,0.048783477550698374,0.13976180233466237,-0.03851636201416092,0.23191119118777526,0.10033284241531665,-0.5987171370141138,239518.39054346064,0.0,False
PETR4.SA,0.00025810858267241276,0.013192445193223446,-4.451256240945598,133.38285678256383,-0.35236682779683415,-0.039280890947779756,-0.012537306446245993,0.0,0.016567934256949454,0.03953210135694354,0.20067054371401422,0.06504336283344801,0.20942357499671216,0.10033284241531665,-0.16850767437439965,4775782.95037833,0.0,False
RADL3.SA,7.151055756118859e-06,0.01054512064966239,-0.31937222779290986,36.01923496280816,-0.15964984726846937,-0.035162058423291814,-0.014088038339478427,0.0,0.014702935407800873,0.03527897830760661,0.1711482598954927,0.0018020660505419525,0.16739860070507134,0.10033284241531665,-0.5885997609882632,346817.7090682027,0.0,False
RAIL3.SA,-6.0039469520289116e-05,0.011644524608522867,-0.03776669068427428,51.95061074031563,-0.18106160926291656,-0.034695420469976965,-0.015353193506797801,0.0,0.01483207430422903,0.03861302982965237,0.19977971875158296,-0.015129946319112858,0.18485109749833958,0.10033284241531665,-0.6246259302597142,721248.184883882,0.0,False
RENT3.SA,2.7312551004548227e-05,0.01431824517716491,-0.6176282683207803,56.45315423814666,-0.26686313574005543,-0.04251780221718595,-0.017869866555541722,0.0,0.017695585905563242,0.046302578206474154,0.23760787667887814,0.006882762853146153,0.22729509569776987,0.10033284241531665,-0.41113988524604755,852095.5288250843,0.0,False
SANB11.SA,-1.565001591046868e-05,0.010391764701997722,-0.18384546307500843,32.465835597595664,-0.14472538670033466,-0.03506207349039518,-0.013568941067067054,0.0,0.013688688918001853,0.034813531442428866,0.12584049064053002,-0.003943804009438107,0.16496415050751126,0.10033284241531665,-0.6321170151450982,281709.86580178933,0.0,False
SUZB3.SA,3.183661440411599e-05,0.010708306369964258,-0.14943782909234868,44.38486998163182,-0.17591240460278806,-0.032663695489536834,-0.013067956048216815,0.0,0.01397752811240561,0.03585451731675443,0.1585718388169221,0.008022826829837229,0.16998909370568546,0.10033284241531665,-0.5430349299073416,526489.1839029448,0.0,False
TAEE11.SA,0.00015331571090244973,0.005952598791803985,0.2164918032759872,23.830397566930834,-0.07298840179161037,-0.019462050755157518,-0.0075032739419557916,0.0,0.008517677285021662,0.021887333694315995,0.06098286315524018,0.038635559147417335,0.09449457634594136,0.10033284241531665,-0.6529187774971095,151806.42451890194,0.0,False
VALE3.SA,0.00015350538260833357,0.010943817679558024,0.8985000834376325,49.83437584914657,-0.1648556584126065,-0.03319237244533317,-0.01350645108178118,0.0,0.014241416884592174,0.03702277433968264,0.19357366291216724,0.03868335641730006,0.17372771984245494,0.10033284241531665,-0.35486269004119464,664545.7080596967,0.0,False
WEGE3.SA,0.00016743593196740934,0.011508189998738731,-1.2053632314627034,54.52075326379868,-0.2309204548955684,-0.03558394736513213,-0.01287352699253324,0.0,0.015262658346749856,0.03947935464049605,0.1301019990120356,0.04219385485578715,0.18268685266286044,0.10033284241531665,-0.31824396070155153,795932.338099832,0.0,False
