ticker,date,pre_price_raw,post_price_raw,factor_applied_to_history_before_date,raw_logret,implied_ratio
ASAI3,2021-08-12,90.26,17.75,0.196654,-1.6263,5.09:1
B3SA3,2021-05-17,53.55,17.58,0.328291,-1.1139,3.05:1
BBAS3,2007-06-04,80.99,27.2,0.335844,-1.0911,2.98:1
BBAS3,2024-04-16,56.46,27.91,0.494332,-0.7045,2.02:1
BBDC3,2004-03-22,12.25,120.0,9.795918,2.282,1:9.80
BBDC3,2004-12-14,170.48,56.0,0.328484,-1.1133,3.04:1
BBDC3,2005-11-23,121.5,61.8,0.508642,-0.676,1.97:1
BBDC3,2007-03-26,83.97,42.51,0.506252,-0.6807,1.98:1
BBDC3,2008-04-07,44.5,30.0,0.674157,-0.3943,1.48:1
BBDC4,2004-03-22,14.29,139.2,9.741078,2.2764,1:9.74
BBDC4,2004-12-14,203.2,67.0,0.329724,-1.1095,3.03:1
BBDC4,2005-11-23,132.0,68.0,0.515152,-0.6633,1.94:1
BBDC4,2007-03-26,83.81,42.0,0.501134,-0.6909,2.00:1
BBDC4,2008-04-07,50.95,34.64,0.679882,-0.3858,1.47:1
BPAC11,2021-07-01,122.06,30.15,0.24701,-1.3983,4.05:1
BRAP4,2004-07-05,1.09,53.5,49.082569,3.8935,1:49.08
BRAP4,2005-05-02,78.2,38.75,0.495524,-0.7021,2.02:1
BRAP4,2007-01-09,98.2,48.7,0.495927,-0.7013,2.02:1
BRAP4,2007-10-16,104.0,50.93,0.489712,-0.7139,2.04:1
BRAP4,2021-12-17,55.78,23.14,0.414844,-0.8799,2.41:1
BRFS3,2010-04-01,47.9,23.65,0.493737,-0.7058,2.03:1
BRKM5,2005-05-16,88.85,22.9,0.257738,-1.3558,3.88:1
CMIG4,2007-04-27,113.85,71.34,0.626614,-0.4674,1.60:1
CMIG4,2007-06-04,79.56,39.4,0.495224,-0.7027,2.02:1
CPFE3,2011-06-29,44.5,22.22,0.499326,-0.6945,2.00:1
CPLE6,2021-03-12,61.36,6.3,0.102673,-2.2762,9.74:1
CSAN3,2006-09-01,113.0,38.01,0.336372,-1.0895,2.97:1
CSAN3,2021-05-06,89.17,21.54,0.241561,-1.4206,4.14:1
CSNA3,2004-05-31,143.99,36.5,0.25349,-1.3724,3.94:1
CSNA3,2008-01-23,144.0,46.0,0.319444,-1.1412,3.13:1
CSNA3,2010-03-26,68.5,34.79,0.507883,-0.6775,1.97:1
CYRE3,2006-12-08,40.4,20.38,0.504455,-0.6843,1.98:1
ELET3,2007-08-20,47.5,24.4,0.513684,-0.6661,1.95:1
ELET3,2017-08-22,14.2,21.2,1.492958,0.4008,1:1.49
ELET6,2007-08-20,43.9,22.92,0.522096,-0.6499,1.92:1
ENEV3,2016-07-01,0.47,11.9,25.319149,3.2316,1:25.32
ENEV3,2021-03-12,66.7,16.94,0.253973,-1.3705,3.94:1
EQTL3,2010-08-25,18.1,10.9,0.60221,-0.5071,1.66:1
EQTL3,2019-11-28,101.8,20.49,0.201277,-1.6031,4.97:1
FLRY3,2017-06-27,54.52,27.22,0.499266,-0.6946,2.00:1
GGBR4,2004-04-30,60.86,31.0,0.509366,-0.6746,1.96:1
GGBR4,2005-04-12,42.1,27.9,0.662708,-0.4114,1.51:1
GGBR4,2006-04-13,52.6,35.32,0.671483,-0.3983,1.49:1
GGBR4,2008-06-13,80.2,39.55,0.493142,-0.707,2.03:1
GOAU4,2004-05-03,74.5,38.5,0.516779,-0.6601,1.94:1
GOAU4,2005-04-12,57.31,36.91,0.644041,-0.44,1.55:1
GOAU4,2006-04-13,64.0,42.69,0.667031,-0.4049,1.50:1
GOAU4,2008-06-13,109.0,53.16,0.487706,-0.718,2.05:1
HAPV3,2020-11-25,71.92,14.52,0.201891,-1.6,4.95:1
HAPV3,2023-03-01,4.49,3.02,0.672606,-0.3966,1.49:1
HAPV3,2025-06-06,2.7,39.91,14.781481,2.6934,1:14.78
HAPV3,2025-11-13,32.69,18.89,0.577853,-0.5484,1.73:1
HAPV3,2026-08-13,9.58,6.41,0.669102,-0.4018,1.49:1
HYPE3,2010-01-04,40.0,20.48,0.512,-0.6694,1.95:1
IGTI11,2021-12-27,183.0,18.27,0.099836,-2.3042,10.02:1
IRBR3,2019-09-26,110.27,37.02,0.335721,-1.0915,2.98:1
IRBR3,2023-01-25,0.93,22.06,23.72043,3.1663,1:23.72
ITUB4,2018-11-21,52.72,34.69,0.658005,-0.4185,1.52:1
KLBN11,2014-03-25,55.6,11.32,0.203597,-1.5916,4.91:1
LREN3,2005-07-01,60.02,38.5,0.641453,-0.444,1.56:1
LREN3,2006-10-04,128.5,26.8,0.20856,-1.5675,4.79:1
LREN3,2015-09-24,94.74,18.63,0.196643,-1.6264,5.09:1
MGLU3,2015-10-01,1.8,13.15,7.305556,1.9886,1:7.31
MGLU3,2017-09-05,621.79,82.0,0.131877,-2.0259,7.58:1
MGLU3,2019-08-06,276.0,36.6,0.132609,-2.0204,7.54:1
MGLU3,2020-10-14,104.0,25.59,0.246058,-1.4022,4.06:1
MGLU3,2024-05-27,1.32,13.15,9.962121,2.2988,1:9.96
MRVE3,2009-12-18,37.4,12.68,0.339037,-1.0816,2.95:1
MULT3,2018-07-23,59.49,19.75,0.331989,-1.1027,3.01:1
NTCO3,2025-03-14,13.56,9.5,0.70059,-0.3558,1.43:1
PCAR3,2007-09-11,80.0,40.0,0.5,-0.6931,2.00:1
PCAR3,2009-11-10,32.51,60.0,1.845586,0.6128,1:1.85
PCAR3,2017-02-01,46.0,110.0,2.391304,0.8718,1:2.39
PCAR3,2017-05-19,130.0,85.01,0.653923,-0.4248,1.53:1
PCAR3,2021-03-01,83.0,23.33,0.281084,-1.2691,3.56:1
PCAR3,2023-08-23,19.65,6.56,0.333842,-1.0971,3.00:1
PETR3,2005-09-01,148.7,36.75,0.247142,-1.3978,4.05:1
PETR3,2008-04-28,103.0,51.85,0.503398,-0.6864,1.99:1
PETR3,2020-03-09,24.06,16.92,0.703242,-0.3521,1.42:1
PETR4,2005-09-01,130.0,32.3,0.248462,-1.3925,4.02:1
PETR4,2008-04-28,84.3,42.59,0.505219,-0.6828,1.98:1
PETR4,2020-03-09,22.83,16.05,0.703022,-0.3524,1.42:1
POMO4,2006-08-28,7.8,4.03,0.516667,-0.6604,1.94:1
POMO4,2010-09-13,10.66,5.43,0.509381,-0.6746,1.96:1
POMO4,2013-08-06,13.19,6.5,0.492798,-0.7077,2.03:1
PRIO3,2016-03-24,1.96,3.6,1.836735,0.608,1:1.84
PRIO3,2016-06-13,3.08,14.6,4.74026,1.5561,1:4.74
PRIO3,2019-03-06,168.0,17.03,0.101369,-2.289,9.86:1
PRIO3,2020-03-09,35.44,22.49,0.634594,-0.4548,1.58:1
PRIO3,2020-03-12,23.31,15.69,0.673102,-0.3959,1.49:1
PRIO3,2020-03-18,14.69,10.35,0.704561,-0.3502,1.42:1
PRIO3,2021-05-06,97.0,19.2,0.197938,-1.6198,5.05:1
PSSA3,2008-03-31,53.2,17.8,0.334586,-1.0949,2.99:1
PSSA3,2021-10-21,47.36,23.92,0.505068,-0.6831,1.98:1
RADL3,2020-09-21,115.47,22.86,0.197973,-1.6196,5.05:1
RAIZ4,2026-07-31,0.49,0.26,0.530612,-0.6337,1.88:1
RENT3,2007-04-25,60.06,21.0,0.34965,-1.0508,2.86:1
RENT3,2017-11-23,62.57,20.84,0.333067,-1.0994,3.00:1
SBSP3,2007-06-04,315.0,39.2,0.124444,-2.0839,8.04:1
SBSP3,2013-04-23,87.79,28.8,0.328056,-1.1146,3.05:1
